Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Phenotype
Alauda_arvensis,0,0.0206976529483387,0.0124185917690032,0.0101218199579617,0.0101218199579617,0.384629158402546,0.466033241791394,0,0.0202623148604954,0.0240912637357316,0.0412993092612541,0.0103248273153135,,"FM"
Anas_crecca,0,0,0,0.150405699584405,0,0.319612111616861,0.489214328121908,0,0.0407678606768257,0,0,0,,"FM"
Anas_platyrhynchos,0.0176497335678925,0.025061828245782,0.0117664890452617,0.131911771787908,0,0.486393003495209,0.14251717598304,0.031787303529076,0.0931529684243018,0,0.0531664346461672,0.00659329127536216,,"FM"
Anas_poecilorhyncha,0,0,0.0818835833797603,0,0,0.470708024218982,0.33308576290072,0,0,0.0457290518002152,0.0457290518002152,0.0228645259001076,,"TROPIC"
Anser_cygnoides,0.0020878591489085,0.0762018827033046,0.00665031176716379,0,0.0138693908339118,0.218947848998561,0.589315373546631,0.0138693908339118,0.0156708958459418,0.00267130023765636,0.0579260478822087,0.00278969820180081,,"FM"
Brotogeris_cyanoptera,0,0.0234834926674496,0.0117417463337248,0.0459390944799724,0.0169553941212191,0.413451850319751,0.375047855533791,0,0.0603513594148657,0.0145146978770165,0.038514509252209,0,,"TROPIC"
Cardinalis_cardinalis,0.00502589185463039,0.0430293342527541,0.00533946956748717,0.00419037403086041,0,0.157851936533705,0.646199350819719,0,0,0.0126728245682272,0.119354406088504,0.00633641228411358,,"TROPIC"
Carpodacus_erythrinus,0.00469150612952164,0.0233877619647946,0.00351862959714123,0.00967998373936264,0,0.225201591083205,0.670894835297981,0,0.0108725895388734,0.0139885750462892,0.0363218112692398,0.00144271633359077,,"FM"
Copsychus_saularis,0.0021038155347797,0.0201127184234599,0.00631144660433909,0.0347690141045723,0,0.207381732891502,0.613595595621264,0.0150697221458676,0.0448216198594839,0.0212459616839348,0.0306365980122606,0.0039517751185363,,"TROPIC"
Corvus_splendens,0,0.118948192489727,0.0320141413593627,0,0,0.287217303067641,0.208173012917544,0.17773368133991,0,0.0322142297428587,0.143699439082956,0,,"TROPIC"
Eopsaltria_australis,0.00241245248612339,0.022203372491557,0.00601449964643896,0.0279445891437388,0.00737074532659588,0.207415192717397,0.578710151940811,0.0098391577005889,0.0380468023522044,0.0136824458836202,0.0846725116016566,0.00168807870926764,,"TROPIC"
Eopsaltria_griseogularis,0.00862954799107359,0.0347006140277072,0.0222314390886399,0.0254858006360428,0,0.31448895007018,0.39752404772043,0.00541385952465623,0.0479020899790802,0.0592430419449644,0.0789400031779788,0.00544060583924633,,"TROPIC"
Falco_sparverius,0,0,0.029325680804539,0,0,0.283009134124954,0.546222363700868,0,0,0.0697809874565839,0.0542165870489097,0.017445246864146,,"AI"
Garrulax_canorus,0.000838468703035917,0.0416109839540115,0.00301633076627808,0.00376958900317307,0,0.227880284746724,0.680674845480532,0,0,0.00510390695271644,0.0350863411233087,0.00201924927022026,,"TROPIC"
Garrulus_glandarius,0,0.0236806842578013,0,0.00772228009225032,0,0.112243724380565,0.716838262478754,0,0.0323223520407701,0.0082919564924983,0.0957430613605688,0.00315767889679165,,"WI"
Henicorhina_leucosticta,0.00494197277180887,0.0408428242270028,0.0108523127417462,0.0275792458015615,0.00982721271316392,0.387126131881192,0.407967704989201,0.0113730167016839,0.0227429389038747,0.0111466408260835,0.0650068362142923,0.000593162228389273,,"TROPIC"
Hirundo_rustica,0,0.0247552911457097,0.00275058790507885,0.0341321384958969,0.0170660692479485,0.307189246463073,0.456153137490135,0,0.0622027005668366,0.0251975864961373,0.0705532421891845,0,,"AI"
Ithaginis_cruentus,0.00256403749040129,0.0122433893681353,0.0128201874520065,0.0363099068416221,0.0137710746872225,0.26103098057077,0.465156591290251,0.0339130241654964,0.0847825604137409,0.029988629922389,0.0461902126811577,0.00122940511680664,,"HI"
Larus_dominicanus,0,0.0703298325387585,0.0094583259532851,0,0,0.0919718453798061,0.764501180103436,0,0,0,0.0637388160247143,0,,"AI"
Loxia_curvirostra,0,0.0599708931144977,0.00999514885241628,0,0.0510922236551704,0.0510922236551704,0.533629891509558,0.266814945754779,0,0.0137023367292041,0.0137023367292041,0,,"WI"
Luscinia_cyanura,0.00445834373812991,0.0178333749525196,0.00453437755150335,0.0582441272334323,0.00777452993142377,0.279537225519277,0.567666909402304,0,0,0.0184707779546295,0.0414803337167801,0,,"FM"
Micrastur_gilvicollis,0,0.0251563824639751,0,0,0,0.227169791394829,0.719303055481388,0,0,0.0135391985882362,0.0148315720715716,0,,"AI"
Motacilla_alba,0,0.0905088629117288,0.00861989170587894,0,0,0.151852349419176,0.622681904083805,0.0239493040032233,0,0.0102387687876188,0.0921489190885691,0,,"FM"
Paradoxornis_webbianus,0.00639876916288513,0.0510670512804499,0.00849065820963646,0.0223255269587415,0,0.150808338946462,0.647561448828046,0.0169124152889565,0.0169124152889565,0.0329159509370533,0.041951297721755,0.00465612737705771,,"TROPIC"
Perdix_hodgsoniae,0,0.0148263566575709,0,0,0,0.130219095210017,0.668260512050899,0,0.164943274596289,0,0.0217507614852249,0,,"HI"
Periparus_ater,0.00486164816758736,0.00729247225138105,0.0145849445027621,0,0,0.204818788988429,0.637884931271746,0.0167864455597828,0.0503593366793484,0.00768623425199558,0.0518820812009701,0.00384311712599779,,"WI"
Phoenicurus_auroreus,0,0.0811266471936409,0,0,0,0.203812910142621,0.580866793906469,0,0,0,0.115023127506231,0.0191705212510386,,"FM"
Pica_pica,0.00326034387944134,0.0232655595649246,0.00298450292902197,0.0127137704624939,0,0.0721392973738666,0.78624550462232,0.0232617132459521,0,0.012876991145358,0.060112554869799,0.00313976190682245,,"WI"
Pinicola_enucleator,0.00521967023109702,0.0146435520605676,0.00585742082422702,0.0344757118329684,0,0.371230072077609,0.396256901305838,0.0242874352339924,0,0.0224775752582339,0.121377490349319,0.00417417082614793,,"WI"
Pygoscelis_papua,0,0,0,0.0595370804975358,0,0.178611241492607,0.382480638347806,0,0.191240319173903,0.136822342173199,0.0513083783149495,0,,"DI"
Pygoscelis_papua,0,0,0,0.0595370804975358,0,0.178611241492607,0.382480638347806,0,0.191240319173903,0.136822342173199,0.0513083783149495,0,,"NF"
Regulus_regulus,0.00258380416796921,0.0245483877742025,0.0132425584054659,0.0535035264524569,0,0.184067496716846,0.540846729531236,0.0776565051623768,0.026190924676948,0.0457417374274135,0.0316183296850856,0,,"WI"
Sturnus_vulgaris,0,0.0763203488582184,0,0,0,0.51649144457424,0.359778366204848,0,0,0,0.0474098403626931,0,,"FM"
Sylvia_atricapilla,0,0.0459944367292913,0,0,0.0348836237782155,0.313952614003939,0.308865418869616,0.154432709434808,0,0.0236451995306883,0.118225997653442,0,,"FM"
Syrmaticus_ellioti,0,0.0179376207711457,0.0358752415422915,0.148008849923171,0,0.518030974731099,0,0,0,0.119956253190915,0.160191059841377,0,,"TROPIC"
Tachycineta_bicolor,0,0.0554561096924432,0,0,0,0.282908929744434,0.596065984052738,0,0,0.0109281627517308,0.054640813758654,0,,"AI"
Tetraogallus_himalayensis,0.0183325294209055,0.0130637623798495,0.0320819264865847,0.0510806088660987,0.0170268696220329,0.180859078646925,0.425350547492303,0.0650804794442147,0.0650804794442147,0.0609025635967383,0.0711411546001325,0,,"WI"
Tetraogallus_himalayensis,0.0183325294209055,0.0130637623798495,0.0320819264865847,0.0510806088660987,0.0170268696220329,0.180859078646925,0.425350547492303,0.0650804794442147,0.0650804794442147,0.0609025635967383,0.0711411546001325,0,,"HI"
Tregellasia_capito,0.0182725381697551,0.0548176145092654,0,0,0,0.240588419235109,0.618655935175995,0,0,0,0.0676654929098745,0,,"TROPIC"
Tregellasia_leucops,0,0.0482229846295861,0,0,0,0.220593561122656,0.614901577066822,0,0,0.0310085005815827,0.0852733765993525,0,,"TROPIC"
Trogon_viridis,0.0211172493293287,0.0211172493293287,0,0,0.0374102994584229,0.205756647021326,0.271224671073566,0.271224671073566,0,0.0286915354524103,0.143457677262051,0,,"TROPIC"
