"","SVL","HL","HLL","FLL","LAM","TL"
"ahli",4.03913,2.88266,3.96202,3.34498,2.8662,4.504
"alayoni",3.8157,2.70212,3.2795,2.80245,3.07527,4.07265
"alfaroi",3.52665,2.37816,3.30542,2.48366,2.73387,4.41601
"aliniger",4.03656,2.89884,3.64623,3.15908,3.15677,4.54173
"allisoni",4.37539,3.35896,3.96069,3.4462,3.23921,5.05911
"allogus",4.04014,2.86103,3.94018,3.33829,2.80827,4.52189
"altitudinalis",3.84299,2.85273,3.25665,2.88466,3.19846,4.16762
"alumina",3.58894,2.41783,3.44101,2.63466,2.69425,4.66676
"alutaceus",3.55489,2.43405,3.3511,2.56994,2.78245,4.55473
"angusticeps",3.7886,2.69018,3.23424,2.74548,2.86502,4.17223
"argenteolus",3.97131,2.75342,3.85752,3.26076,3.25025,4.75503
"argillaceus",3.75787,2.61359,3.35404,2.89988,3.02318,4.37048
"armouri",4.12168,3.06894,3.98845,3.37523,2.86689,4.71407
"bahorucoensis",3.82745,2.7754,3.69687,2.91831,2.80896,4.76335
"baleatus",5.05306,3.87847,4.73633,4.24528,3.44588,5.70632
"baracoae",5.04278,3.92857,4.72552,4.19824,3.69051,5.78458
"barahonae",5.07696,3.88092,4.76629,4.25025,3.4395,5.69561
"barbatus",5.00395,4.07397,4.51634,4.19162,3.3941,5.03053
"barbouri",3.66393,2.46801,3.4581,2.84025,2.41364,4.55342
"bartschi",4.28055,3.09878,4.18102,3.56553,3.28801,5.06832
"bremeri",4.11337,2.86044,3.90039,3.30585,2.97009,4.72996
"breslini",4.05111,3.00184,3.94958,3.3355,2.74677,4.8287
"brevirostris",3.87415,2.6392,3.66806,3.19585,3.03143,4.34161
"caudalis",3.91174,2.69233,3.64868,3.19965,2.94333,4.3626
"centralis",3.69794,2.52205,3.27249,2.80047,2.87894,4.38583
"chamaeleonides",5.04235,4.12856,4.52661,4.18213,3.51925,5.03155
"chlorocyanus",4.27545,3.07128,3.92347,3.37616,3.32593,4.97128
"christophei",3.88465,2.69607,3.74315,3.24156,2.98497,4.52612
"clivicola",3.75873,2.62919,3.59003,2.91615,2.85538,4.60138
"coelestinus",4.29797,3.12764,3.96332,3.41641,3.20854,5.04332
"confusus",3.93844,2.75838,3.7697,3.18221,2.85608,4.42371
"cooki",4.09154,2.93022,3.92244,3.30786,3.01479,4.89025
"cristatellus",4.18982,3.0245,4.01065,3.45393,3.08046,4.76218
"cupeyalensis",3.46201,2.31221,3.17127,2.43147,2.56376,4.52332
"cuvieri",4.87501,3.78908,4.69174,4.13141,3.39324,5.65807
"cyanopleurus",3.63016,2.46678,3.48687,2.67912,2.72007,4.74826
"cybotes",4.21098,3.16044,4.08094,3.50367,2.91083,4.85735
"darlingtoni",4.30204,3.21286,3.80977,3.33861,3.13549,4.49981
"distichus",3.9288,2.71507,3.74769,3.28819,3.03557,4.33953
"dolichocephalus",3.90855,2.88824,3.71678,2.89803,2.94351,4.87903
"equestris",5.11399,3.97656,4.75764,4.26757,3.72262,5.75012
"etheridgei",3.65799,2.50607,3.68383,2.89028,2.76044,4.51655
"eugenegrahami",4.1285,2.8178,4.08143,3.49302,3.22573,4.86316
"evermanni",4.16561,3.00815,3.95661,3.43032,3.3131,4.76766
"fowleri",4.28878,3.09388,4.0772,3.53726,2.97009,5.30472
"garmani",4.76947,3.60137,4.5139,3.97805,3.30958,5.52986
"grahami",4.15427,3.04139,3.92669,3.38041,3.28017,4.81155
"guafe",3.87746,2.67639,3.70675,3.15604,2.88914,4.35295
"guamuhaya",5.03695,4.11969,4.58159,4.14393,3.59647,5.15329
"guazuma",3.76388,2.65309,3.05933,2.58081,2.93307,3.72491
"gundlachi",4.1881,3.05589,4.1068,3.48066,2.79925,4.8804
"haetianus",4.31654,3.2959,4.22252,3.61242,2.9319,5.0396
"hendersoni",3.85983,2.81146,3.69235,2.89748,2.90119,4.86071
"homolechis",4.03281,2.83492,3.84678,3.29391,2.93592,4.52981
"imias",4.09969,2.85293,3.98565,3.41402,2.94375,4.65242
"inexpectatus",3.53744,2.42414,3.32925,2.46873,2.74432,4.60069
"insolitus",3.80047,2.66088,3.30379,2.7591,2.75087,3.93131
"isolepis",3.65709,2.60933,3.1066,2.67816,3.00959,3.84291
"jubar",3.9526,2.76726,3.7563,3.21232,2.91083,4.41338
"krugi",3.8865,2.75824,3.7428,3.0505,2.92595,4.89789
"lineatopus",4.12861,3.08489,4.00563,3.40064,2.86179,4.83357
"longitibialis",4.2421,3.13074,4.16673,3.59074,2.85046,4.97288
"loysiana",3.70124,2.55961,3.29042,2.86581,2.90001,4.0728
"lucius",4.19891,3.01269,4.08725,3.5405,3.31943,4.8986
"luteogularis",5.10109,3.95631,4.76912,4.27415,3.69997,5.73405
"macilentus",3.71576,2.50716,3.50014,2.69124,2.70694,4.67887
"marcanoi",4.07948,2.98856,3.93748,3.33499,2.93827,4.81486
"marron",3.83181,2.66263,3.6253,3.15137,2.92108,4.28998
"mestrei",3.98715,2.78904,3.84586,3.25122,2.89939,4.51303
"monticola",3.77061,2.61602,3.77539,2.99206,2.85608,4.71892
"noblei",5.08347,3.98972,4.77654,4.26465,3.74571,5.81288
"occultus",3.66305,2.52932,2.94088,2.49856,2.75722,3.6491
"olssoni",3.7939,2.53732,3.62697,2.82685,2.68045,4.93759
"opalinus",3.83838,2.67525,3.61507,3.07685,3.03601,4.41582
"ophiolepis",3.63796,2.43599,3.33231,2.72045,2.61274,4.49759
"oporinus",3.84567,2.71668,3.26919,2.87864,3.04452,4.14313
"paternus",3.80296,2.68938,3.35633,2.8245,2.99523,4.38717
"placidus",3.77397,2.62394,3.03639,2.66671,2.79536,3.84734
"poncensis",3.82038,2.63844,3.54908,2.90001,2.63391,4.78582
"porcatus",4.25899,3.23143,3.83813,3.29191,3.35154,4.94983
"porcus",5.03803,4.10583,4.51046,4.14064,3.50572,5.20247
"pulchellus",3.79902,2.72121,3.55535,2.90369,2.85477,4.7654
"pumilis",3.46686,2.28442,3.03187,2.59615,2.81442,4.13262
"quadriocellifer",3.90162,2.69606,3.70555,3.15652,2.84395,4.41491
"reconditus",4.48261,3.35907,4.41143,3.7942,3.05076,5.2353
"ricordii",5.01396,3.8436,4.72415,4.20138,3.41388,5.65557
"rubribarbus",4.07847,2.89425,3.96135,3.35641,2.86751,4.56108
"sagrei",4.06716,2.83515,3.85786,3.24267,2.91872,4.77603
"semilineatus",3.69663,2.56225,3.56689,2.71825,2.70627,4.81083
"sheplani",3.68292,2.49486,2.85877,2.45531,2.71918,3.74943
"shrevei",3.983,2.91355,3.816,3.20757,2.76989,4.65644
"singularis",4.058,2.91768,3.68946,3.17729,3.14975,4.59542
"smallwoodi",5.0351,3.95492,4.75021,4.19821,3.73134,5.74107
"strahmi",4.27427,3.14616,4.21885,3.64446,2.99069,4.94861
"stratulus",3.86988,2.71712,3.57823,3.09671,3.09993,4.36548
"valencienni",4.32152,3.19328,3.83121,3.38065,3.20445,4.61083
"vanidicus",3.62621,2.49031,3.31618,2.5331,2.57858,4.54037
"vermiculatus",4.80285,3.65602,4.61175,3.9255,3.30124,5.55271
"websteri",3.91655,2.69056,3.6517,3.1969,2.97354,4.31559
"whitemani",4.09748,3.04389,3.97375,3.36546,2.78226,4.83677
