"","Species","Orders"
"1","Acanthisitta chloris","Passeriformes"
"13","Acanthorhynchus tenuirostris","Passeriformes"
"25","Accipiter gentilis","Accipitriformes"
"37","Accipiter nisus","Accipitriformes"
"49","Accipiter trivirgatus","Accipitriformes"
"61","Accipiter virgatus","Accipitriformes"
"73","Aceros waldeni","Bucerotiformes"
"85","Acridotheres cristatellus","Passeriformes"
"97","Acridotheres tristis","Passeriformes"
"109","Acrocephalus scirpaceus","Passeriformes"
"121","Acryllium vulturinum","Galliformes"
"133","Aegithalos fuliginosus","Passeriformes"
"145","Aegotheles bennettii","Caprimulgiformes"
"157","Aegotheles cristatus","Caprimulgiformes"
"169","Aethia cristatella","Charadriiformes"
"181","Aethopyga gouldiae","Passeriformes"
"193","Agapornis lilianae","Psittaciformes"
"205","Agapornis nigrigenis","Psittaciformes"
"217","Agapornis pullarius","Psittaciformes"
"229","Agapornis roseicollis","Psittaciformes"
"241","Agelaioides badius","Passeriformes"
"253","Agelaius phoeniceus","Passeriformes"
"265","Agelasticus cyanopus","Passeriformes"
"277","Agelasticus thilius","Passeriformes"
"289","Agelasticus xanthophthalmus","Passeriformes"
"301","Aix galericulata","Anseriformes"
"313","Alauda arvensis","Passeriformes"
"325","Alcedo atthis","Coraciiformes"
"337","Aleadryas rufinucha","Passeriformes"
"349","Alectoris chukar","Galliformes"
"361","Alectura lathami","Galliformes"
"373","Amaurornis akool","Gruiformes"
"385","Amaurornis phoenicurus","Gruiformes"
"397","Amazilia brevirostris","Apodiformes"
"409","Amazilia versicolor","Apodiformes"
"421","Amazona aestiva","Psittaciformes"
"433","Amazona guildingii","Psittaciformes"
"445","Amazona ochrocephala","Psittaciformes"
"457","Amazona ventralis","Psittaciformes"
"469","Amblyramphus holosericeus","Passeriformes"
"481","Anas acuta","Anseriformes"
"493","Anas crecca","Anseriformes"
"505","Anas platyrhynchos","Anseriformes"
"517","Anas poecilorhyncha","Anseriformes"
"529","Anhinga melanogaster","Pelecaniformes"
"541","Anser albifrons","Anseriformes"
"553","Anser anser","Anseriformes"
"565","Anser cygnoides","Anseriformes"
"577","Anser indicus","Anseriformes"
"589","Anseranas semipalmata","Anseriformes"
"601","Anthoscopus minutus","Passeriformes"
"613","Anthracoceros coronatus","Bucerotiformes"
"625","Anthus novaeseelandiae","Passeriformes"
"637","Aphelocoma coerulescens","Passeriformes"
"649","Aptenodytes forsteri","Sphenisciformes"
"661","Aptenodytes patagonicus","Sphenisciformes"
"673","Apteryx haastii","Apterygiformes"
"685","Apus apus","Apodiformes"
"697","Aquila chrysaetos","Accipitriformes"
"709","Aquila heliaca","Accipitriformes"
"721","Aquila nipalensis","Accipitriformes"
"733","Ara ararauna","Psittaciformes"
"745","Ara chloropterus","Psittaciformes"
"757","Ara glaucogularis","Psittaciformes"
"769","Ara macao","Psittaciformes"
"781","Ara militaris","Psittaciformes"
"793","Aramus guarauna","Gruiformes"
"805","Aratinga solstitialis","Psittaciformes"
"817","Arborophila ardens","Galliformes"
"829","Arborophila brunneopectus","Galliformes"
"841","Arborophila rufipectus","Galliformes"
"853","Arborophila rufogularis","Galliformes"
"865","Archilochus colubris","Apodiformes"
"877","Ardea cinerea","Pelecaniformes"
"889","Ardea insignis","Pelecaniformes"
"901","Ardea purpurea","Pelecaniformes"
"913","Ardeola bacchus","Pelecaniformes"
"925","Ardeotis kori","Gruiformes"
"937","Arenaria interpres","Charadriiformes"
"949","Arremon aurantiirostris","Passeriformes"
"961","Artamus cinereus","Passeriformes"
"973","Asio flammeus","Strigiformes"
"985","Asio otus","Strigiformes"
"997","Atlantisia rogersi","Gruiformes"
"1009","Atrichornis clamosus","Passeriformes"
"1021","Aythya americana","Anseriformes"
"1033","Aythya baeri","Anseriformes"
"1045","Aythya ferina","Anseriformes"
"1057","Aythya fuligula","Anseriformes"
"1069","Balearica pavonina","Gruiformes"
"1081","Balearica regulorum","Gruiformes"
"1093","Bambusicola fytchii","Galliformes"
"1105","Bambusicola thoracicus","Galliformes"
"1117","Bombycilla garrulus","Passeriformes"
"1129","Botaurus stellaris","Pelecaniformes"
"1141","Brachypteracias leptosomus","Coraciiformes"
"1153","Branta canadensis","Anseriformes"
"1165","Brotogeris cyanoptera","Psittaciformes"
"1177","Bubo bubo","Strigiformes"
"1189","Bubulcus ibis","Pelecaniformes"
"1201","Bucco capensis","Galbuliformes"
"1213","Buceros bicornis","Bucerotiformes"
"1225","Buphagus erythrorhynchus","Passeriformes"
"1237","Burhinus bistriatus","Charadriiformes"
"1249","Buteo buteo","Accipitriformes"
"1261","Butorides striata","Pelecaniformes"
"1273","Bycanistes brevis","Bucerotiformes"
"1285","Cacatua moluccensis","Psittaciformes"
"1297","Cacatua pastinator","Psittaciformes"
"1309","Cairina moschata","Anseriformes"
"1321","Calandrella cinerea","Passeriformes"
"1333","Calcarius ornatus","Passeriformes"
"1345","Calidris ruficollis","Charadriiformes"
"1357","Calidris tenuirostris","Charadriiformes"
"1369","Callaeas cinereus","Passeriformes"
"1381","Callipepla squamata","Galliformes"
"1393","Calliphlox amethystina","Apodiformes"
"1405","Caloenas nicobarica","Columbiformes"
"1417","Caloperdix oculeus","Galliformes"
"1429","Calyptorhynchus lathami","Psittaciformes"
"1441","Campephilus guatemalensis","Piciformes"
"1453","Campephilus imperialis","Piciformes"
"1465","Campylorhamphus procurvoides","Passeriformes"
"1477","Campylorhynchus brunneicapillus","Passeriformes"
"1489","Campylorhynchus zonatus","Passeriformes"
"1501","Caracara cheriway","Falconiformes"
"1513","Caracara plancus","Falconiformes"
"1525","Cardinalis cardinalis","Passeriformes"
"1537","Carpodacus erythrinus","Passeriformes"
"1549","Carpodacus pulcherrimus","Passeriformes"
"1561","Carpodacus roseus","Passeriformes"
"1573","Carpodacus rubicilloides","Passeriformes"
"1585","Casuarius casuarius","Casuariiformes"
"1597","Cathartes aura","Accipitriformes"
"1609","Catharus fuscescens","Passeriformes"
"1621","Centropus bengalensis","Cuculiformes"
"1633","Centropus unirufus","Cuculiformes"
"1645","Cephalopterus ornatus","Passeriformes"
"1657","Certhia brachydactyla","Passeriformes"
"1669","Certhia himalayana","Passeriformes"
"1681","Ceryle rudis","Coraciiformes"
"1693","Ceuthmochares aereus","Cuculiformes"
"1705","Chaetops frenatus","Passeriformes"
"1717","Chaetorhynchus papuensis","Passeriformes"
"1729","Chaetura pelagica","Apodiformes"
"1741","Charadrius alexandrinus","Charadriiformes"
"1753","Charadrius vociferus","Charadriiformes"
"1765","Chauna torquata","Anseriformes"
"1777","Chloroceryle aenea","Coraciiformes"
"1789","Chlorophanes spiza","Passeriformes"
"1801","Chloropsis cyanopogon","Passeriformes"
"1813","Chloropsis hardwickii","Passeriformes"
"1825","Chrysolampis mosquitus","Apodiformes"
"1837","Chrysolophus amherstiae","Galliformes"
"1849","Chrysolophus pictus","Galliformes"
"1861","Chrysomus icterocephalus","Passeriformes"
"1873","Chrysomus ruficapillus","Passeriformes"
"1885","Ciconia boyciana","Ciconiiformes"
"1897","Ciconia ciconia","Ciconiiformes"
"1909","Ciconia nigra","Ciconiiformes"
"1921","Cinclosoma castanotum","Passeriformes"
"1933","Cinclosoma punctatum","Passeriformes"
"1945","Cinclus mexicanus","Passeriformes"
"1957","Circaetus pectoralis","Accipitriformes"
"1969","Circus melanoleucos","Accipitriformes"
"1981","Climacteris rufus","Passeriformes"
"1993","Cnemophilus loriae","Passeriformes"
"2005","Cnemotriccus fuscatus","Passeriformes"
"2017","Coccothraustes coccothraustes","Passeriformes"
"2029","Colinus virginianus","Galliformes"
"2041","Colius striatus","Coliiformes"
"2053","Columba hodgsonii","Columbiformes"
"2065","Columba livia","Columbiformes"
"2077","Columba rupestris","Columbiformes"
"2089","Copsychus saularis","Passeriformes"
"2101","Coracopsis vasa","Psittaciformes"
"2113","Corvus brachyrhynchos","Passeriformes"
"2125","Corvus corax","Passeriformes"
"2137","Corvus coronoides","Passeriformes"
"2149","Corvus cryptoleucus","Passeriformes"
"2161","Corvus dauuricus","Passeriformes"
"2173","Corvus frugilegus","Passeriformes"
"2185","Corvus hawaiiensis","Passeriformes"
"2197","Corvus macrorhynchos","Passeriformes"
"2209","Corvus moneduloides","Passeriformes"
"2221","Corvus splendens","Passeriformes"
"2233","Corythaixoides concolor","Musophagiformes"
"2245","Cossypha semirufa","Passeriformes"
"2257","Coturnicops exquisitus","Gruiformes"
"2269","Coturnix chinensis","Galliformes"
"2281","Coturnix japonica","Galliformes"
"2293","Crax daubentoni","Galliformes"
"2305","Crax rubra","Galliformes"
"2317","Crossoptilon auritum","Galliformes"
"2329","Crossoptilon crossoptilon","Galliformes"
"2341","Crossoptilon harmani","Galliformes"
"2353","Crossoptilon mantchuricum","Galliformes"
"2365","Crotophaga sulcirostris","Cuculiformes"
"2377","Crypturellus cinnamomeus","Tinamiformes"
"2389","Crypturellus soui","Tinamiformes"
"2401","Crypturellus undulatus","Tinamiformes"
"2413","Cuculus poliocephalus","Cuculiformes"
"2425","Culicicapa ceylonensis","Passeriformes"
"2437","Curaeus curaeus","Passeriformes"
"2449","Cyanopica cyanus","Passeriformes"
"2461","Cyanoptila cyanomelana","Passeriformes"
"2473","Cygnus atratus","Anseriformes"
"2485","Cygnus columbianus","Anseriformes"
"2497","Cygnus cygnus","Anseriformes"
"2509","Cygnus olor","Anseriformes"
"2521","Cypseloides fumigatus","Apodiformes"
"2533","Daphoenositta chrysoptera","Passeriformes"
"2545","Daption capense","Procellariiformes"
"2557","Dasyornis broadbenti","Passeriformes"
"2569","Delichon urbicum","Passeriformes"
"2581","Dendrocitta formosae","Passeriformes"
"2593","Dendrocopos darjellensis","Piciformes"
"2605","Dendrocopos leucotos","Piciformes"
"2617","Dendrocopos major","Piciformes"
"2629","Dendrocygna javanica","Anseriformes"
"2641","Dicaeum agile","Passeriformes"
"2653","Dicaeum concolor","Passeriformes"
"2665","Dicaeum eximium","Passeriformes"
"2677","Dicrurus hottentottus","Passeriformes"
"2689","Dicrurus macrocercus","Passeriformes"
"2701","Dicrurus megarhynchus","Passeriformes"
"2713","Didunculus strigirostris","Columbiformes"
"2725","Diopsittaca nobilis","Psittaciformes"
"2737","Dives dives","Passeriformes"
"2749","Dromaius novaehollandiae","Casuariiformes"
"2761","Drymodes brunneopygia","Passeriformes"
"2773","Dryocopus pileatus","Piciformes"
"2785","Dryoscopus gambensis","Passeriformes"
"2797","Eclectus roratus","Psittaciformes"
"2809","Egretta eulophotes","Pelecaniformes"
"2821","Egretta garzetta","Pelecaniformes"
"2833","Egretta sacra","Pelecaniformes"
"2845","Emberiza aureola","Passeriformes"
"2857","Emberiza chrysophrys","Passeriformes"
"2869","Emberiza cioides","Passeriformes"
"2881","Emberiza elegans","Passeriformes"
"2893","Emberiza fucata","Passeriformes"
"2905","Emberiza jankowskii","Passeriformes"
"2917","Emberiza leucocephalos","Passeriformes"
"2929","Emberiza pusilla","Passeriformes"
"2941","Emberiza rustica","Passeriformes"
"2953","Emberiza rutila","Passeriformes"
"2965","Emberiza spodocephala","Passeriformes"
"2977","Emberiza tristrami","Passeriformes"
"2989","Eophona migratoria","Passeriformes"
"3001","Eopsaltria australis","Passeriformes"
"3013","Eopsaltria georgiana","Passeriformes"
"3025","Epthianura albifrons","Passeriformes"
"3037","Eremophila alpestris","Passeriformes"
"3049","Erpornis zantholeuca","Passeriformes"
"3061","Erythrocercus mccallii","Passeriformes"
"3073","Eudocimus ruber","Pelecaniformes"
"3085","Eudromia elegans","Tinamiformes"
"3097","Eudyptes chrysocome","Sphenisciformes"
"3109","Eudyptes chrysolophus","Sphenisciformes"
"3121","Eudyptula minor","Sphenisciformes"
"3133","Eulacestoma nigropectus","Passeriformes"
"3145","Euphagus cyanocephalus","Passeriformes"
"3157","Eurystomus gularis","Coraciiformes"
"3169","Eurystomus orientalis","Coraciiformes"
"3181","Falco amurensis","Falconiformes"
"3193","Falco cherrug","Falconiformes"
"3205","Falco columbarius","Falconiformes"
"3217","Falco naumanni","Falconiformes"
"3229","Falco peregrinus","Falconiformes"
"3241","Falco rusticolus","Falconiformes"
"3253","Falco sparverius","Falconiformes"
"3265","Falco subbuteo","Falconiformes"
"3277","Falco tinnunculus","Falconiformes"
"3289","Falcunculus frontatus","Passeriformes"
"3301","Ficedula albicollis","Passeriformes"
"3313","Ficedula zanthopygia","Passeriformes"
"3325","Florisuga fusca","Apodiformes"
"3337","Florisuga mellivora","Apodiformes"
"3349","Formicarius rufipectus","Passeriformes"
"3361","Forpus passerinus","Psittaciformes"
"3373","Francolinus pintadeanus","Galliformes"
"3385","Fregata magnificens","Pelecaniformes"
"3397","Fringilla coelebs","Passeriformes"
"3409","Fringilla montifringilla","Passeriformes"
"3421","Furnarius figulus","Passeriformes"
"3433","Gallicrex cinerea","Gruiformes"
"3445","Gallinago stenura","Charadriiformes"
"3457","Gallinula chloropus","Gruiformes"
"3469","Gallirallus striatus","Gruiformes"
"3481","Gallus gallus","Galliformes"
"3493","Gallus sonneratii","Galliformes"
"3505","Gallus varius","Galliformes"
"3517","Garrulax albogularis","Passeriformes"
"3529","Garrulax canorus","Passeriformes"
"3541","Garrulax formosus","Passeriformes"
"3553","Garrulax perspicillatus","Passeriformes"
"3565","Garrulax poecilorhynchus","Passeriformes"
"3577","Garrulax sannio","Passeriformes"
"3589","Garrulus glandarius","Passeriformes"
"3601","Gavia pacifica","Gaviiformes"
"3613","Gavia stellata","Gaviiformes"
"3625","Geococcyx californianus","Cuculiformes"
"3637","Geopelia cuneata","Columbiformes"
"3649","Geospiza magnirostris","Passeriformes"
"3661","Geotrygon violacea","Columbiformes"
"3673","Gerygone igata","Passeriformes"
"3685","Glaucidium cuculoides","Strigiformes"
"3697","Glaucis hirsutus","Apodiformes"
"3709","Gnorimopsar chopi","Passeriformes"
"3721","Goura cristata","Columbiformes"
"3733","Goura scheepmakeri","Columbiformes"
"3745","Goura victoria","Columbiformes"
"3757","Gracula religiosa","Passeriformes"
"3769","Grallaria varia","Passeriformes"
"3781","Grantiella picta","Passeriformes"
"3793","Grus americana","Gruiformes"
"3805","Grus carunculatus","Gruiformes"
"3817","Grus grus","Gruiformes"
"3829","Grus japonensis","Gruiformes"
"3841","Grus leucogeranus","Gruiformes"
"3853","Grus monacha","Gruiformes"
"3865","Grus nigricollis","Gruiformes"
"3877","Grus paradisea","Gruiformes"
"3889","Grus virgo","Gruiformes"
"3901","Guaruba guarouba","Psittaciformes"
"3913","Gymnomystax mexicanus","Passeriformes"
"3925","Gymnorhina tibicen","Passeriformes"
"3937","Haematopus ater","Charadriiformes"
"3949","Haematopus ostralegus","Charadriiformes"
"3961","Haematortyx sanguiniceps","Galliformes"
"3973","Halcyon coromanda","Coraciiformes"
"3985","Halcyon senegalensis","Coraciiformes"
"3997","Halcyon smyrnensis","Coraciiformes"
"4009","Haliaeetus albicilla","Accipitriformes"
"4021","Heliodoxa aurescens","Apodiformes"
"4033","Heliornis fulica","Gruiformes"
"4045","Hemignathus flavus","Passeriformes"
"4057","Hemiphaga novaeseelandiae","Columbiformes"
"4069","Henicorhina leucosticta","Passeriformes"
"4081","Herpetotheres cachinnans","Falconiformes"
"4093","Himantopus himantopus","Charadriiformes"
"4105","Himatione sanguinea","Passeriformes"
"4117","Hirundo aethiopica","Passeriformes"
"4129","Hirundo albigularis","Passeriformes"
"4141","Hirundo angolensis","Passeriformes"
"4153","Hirundo atrocaerulea","Passeriformes"
"4165","Hirundo dimidiata","Passeriformes"
"4177","Hirundo neoxena","Passeriformes"
"4189","Hirundo nigrita","Passeriformes"
"4201","Hirundo smithii","Passeriformes"
"4213","Hirundo tahitica","Passeriformes"
"4225","Hydrophasianus chirurgus","Charadriiformes"
"4237","Hylia prasina","Passeriformes"
"4249","Hyliota flavigaster","Passeriformes"
"4261","Hylocharis cyanus","Apodiformes"
"4273","Hypocryptadius cinnamomeus","Passeriformes"
"4285","Ifrita kowaldi","Passeriformes"
"4297","Indicator maculatus","Piciformes"
"4309","Indicator xanthonotus","Piciformes"
"4321","Irena cyanogastra","Passeriformes"
"4333","Ithaginis cruentus","Galliformes"
"4345","Ixobrychus cinnamomeus","Pelecaniformes"
"4357","Ixobrychus eurhythmus","Pelecaniformes"
"4369","Ixobrychus flavicollis","Pelecaniformes"
"4381","Ixobrychus sinensis","Pelecaniformes"
"4393","Jacana jacana","Charadriiformes"
"4405","Jacana spinosa","Charadriiformes"
"4417","Jynx ruficollis","Piciformes"
"4429","Jynx torquilla","Piciformes"
"4441","Lagopus lagopus","Galliformes"
"4453","Lagopus muta","Galliformes"
"4465","Lanius cristatus","Passeriformes"
"4477","Lanius ludovicianus","Passeriformes"
"4489","Lanius schach","Passeriformes"
"4501","Lanius tephronotus","Passeriformes"
"4513","Lanius tigrinus","Passeriformes"
"4525","Larus crassirostris","Charadriiformes"
"4537","Larus dominicanus","Charadriiformes"
"4549","Leiothrix argentauris","Passeriformes"
"4561","Leiothrix lutea","Passeriformes"
"4573","Lepidocolaptes angustirostris","Passeriformes"
"4585","Lepidothrix coronata","Passeriformes"
"4597","Leptotila verreauxi","Columbiformes"
"4609","Leucopsar rothschildi","Passeriformes"
"4621","Leucosticte arctoa","Passeriformes"
